,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,Singlets Count,Singlets % Parent,Singlets % Grand Parent,Singlets % Total,Singlets Count/uL,iRBC_tdT- Count,iRBC_tdT- % Parent,iRBC_tdT- % Grand Parent,iRBC_tdT- % Total,iRBC_tdT- Count/uL,iRBC_tdT+ Count,iRBC_tdT+ % Parent,iRBC_tdT+ % Grand Parent,iRBC_tdT+ % Total,iRBC_tdT+ Count/uL,uRBCs Count,uRBCs % Parent,uRBCs % Grand Parent,uRBCs % Total,uRBCs Count/uL,iRBCs Count,iRBCs % Parent,iRBCs % Grand Parent,iRBCs % Total,iRBCs Count/uL
SGE-1-07132023-Plate_001-Group_001-D4 PBS-0.5-R3,"17128","100.00","100.00","100.00","169.48","11406","66.59","66.59","66.59","112.86","775","6.79","4.52","4.52","7.67","61","0.53","0.36","0.36","0.60","10569","92.66","61.71","61.71","104.58","839","7.36","4.90","4.90","8.30"
SGE-1-07132023-Plate_001-Group_001-D5 PBS-1.0-R3,"24792","100.00","100.00","100.00","247.20","17160","69.22","69.22","69.22","171.10","2058","11.99","8.30","8.30","20.52","166","0.97","0.67","0.67","1.66","14933","87.02","60.23","60.23","148.90","2230","13.00","8.99","8.99","22.24"
SGE-1-07132023-Plate_001-Group_001-D6 M-0.5-R3,"18352","100.00","100.00","100.00","183.39","13258","72.24","72.24","72.24","132.49","1498","11.30","8.16","8.16","14.97","100","0.75","0.54","0.54","1.00","11660","87.95","63.54","63.54","116.52","1604","12.10","8.74","8.74","16.03"
SGE-1-07132023-Plate_001-Group_001-D7 M-1.0-R3,"32","100.00","100.00","100.00","N/A","20","62.50","62.50","62.50","N/A","1","5.00","3.13","3.13","N/A","0","0.00","0.00","0.00","N/A","19","95.00","59.38","59.38","N/A","1","5.00","3.13","3.13","N/A"
SGE-1-07132023-Plate_001-Group_001-D8 F-0.5-R3,"38032","100.00","100.00","100.00","380.24","28879","75.93","75.93","75.93","288.73","2186","7.57","5.75","5.75","21.86","200","0.69","0.53","0.53","2.00","26493","91.74","69.66","69.66","264.88","2397","8.30","6.30","6.30","23.97"
SGE-1-07132023-Plate_001-Group_001-D9 F-1.0-R3,"58648","100.00","100.00","100.00","581.71","49061","83.65","83.65","83.65","486.62","3016","6.15","5.14","5.14","29.91","240","0.49","0.41","0.41","2.38","45805","93.36","78.10","78.10","454.32","3277","6.68","5.59","5.59","32.50"
SGE-1-07132023-Plate_001-Group_001-E4 PBS-0.5-R4,"33760","100.00","100.00","100.00","336.42","28278","83.76","83.76","83.76","281.79","1823","6.45","5.40","5.40","18.17","203","0.72","0.60","0.60","2.02","26251","92.83","77.76","77.76","261.59","2033","7.19","6.02","6.02","20.26"
SGE-1-07132023-Plate_001-Group_001-E5 PBS-1.0-R4,"46416","100.00","100.00","100.00","462.63","35431","76.33","76.33","76.33","353.14","3946","11.14","8.50","8.50","39.33","282","0.80","0.61","0.61","2.81","31199","88.06","67.22","67.22","310.96","4249","11.99","9.15","9.15","42.35"
SGE-1-07132023-Plate_001-Group_001-E6 M-0.5-R4,"29032","100.00","100.00","100.00","287.82","22994","79.20","79.20","79.20","227.96","1808","7.86","6.23","6.23","17.92","145","0.63","0.50","0.50","1.44","21040","91.50","72.47","72.47","208.59","1964","8.54","6.76","6.76","19.47"
SGE-1-07132023-Plate_001-Group_001-E7 M-1.0-R4,"84824","100.00","100.00","100.00","845.20","71824","84.67","84.67","84.67","715.66","4934","6.87","5.82","5.82","49.16","423","0.59","0.50","0.50","4.21","66462","92.53","78.35","78.35","662.24","5381","7.49","6.34","6.34","53.62"
SGE-1-07132023-Plate_001-Group_001-E8 F-0.5-R4,"21712","100.00","100.00","100.00","216.21","15672","72.18","72.18","72.18","156.06","1305","8.33","6.01","6.01","13.00","126","0.80","0.58","0.58","1.25","14240","90.86","65.59","65.59","141.80","1436","9.16","6.61","6.61","14.30"
SGE-1-07132023-Plate_001-Group_001-E9 F-1.0-R4,"64016","100.00","100.00","100.00","638.82","55393","86.53","86.53","86.53","552.77","2729","4.93","4.26","4.26","27.23","253","0.46","0.40","0.40","2.52","52409","94.61","81.87","81.87","522.99","3002","5.42","4.69","4.69","29.96"
SGE-1-07132023-Plate_001-Group_001-F4 PBS-0.5-R5,"58832","100.00","100.00","100.00","579.80","51617","87.74","87.74","87.74","508.69","2366","4.58","4.02","4.02","23.32","284","0.55","0.48","0.48","2.80","48963","94.86","83.23","83.23","482.54","2663","5.16","4.53","4.53","26.24"
SGE-1-07132023-Plate_001-Group_001-F5 PBS-1.0-R5,"78392","100.00","100.00","100.00","780.80","65793","83.93","83.93","83.93","655.31","3981","6.05","5.08","5.08","39.65","373","0.57","0.48","0.48","3.72","61431","93.37","78.36","78.36","611.86","4379","6.66","5.59","5.59","43.62"
SGE-1-07132023-Plate_001-Group_001-F6 M-0.5-R5,"52184","100.00","100.00","100.00","517.44","44418","85.12","85.12","85.12","440.44","2794","6.29","5.35","5.35","27.70","264","0.59","0.51","0.51","2.62","41356","93.11","79.25","79.25","410.07","3077","6.93","5.90","5.90","30.51"
SGE-1-07132023-Plate_001-Group_001-F7 M-1.0-R5,"67912","100.00","100.00","100.00","671.40","57435","84.57","84.57","84.57","567.82","3327","5.79","4.90","4.90","32.89","325","0.57","0.48","0.48","3.21","53779","93.63","79.19","79.19","531.68","3678","6.40","5.42","5.42","36.36"
SGE-1-07132023-Plate_001-Group_001-F8 F-0.5-R5,"65624","100.00","100.00","100.00","651.29","57039","86.92","86.92","86.92","566.09","2409","4.22","3.67","3.67","23.91","280","0.49","0.43","0.43","2.78","54349","95.28","82.82","82.82","539.39","2703","4.74","4.12","4.12","26.83"
SGE-1-07132023-Plate_001-Group_001-F9 F-1.0-R5,"110672","100.00","100.00","100.00","1095.76","96990","87.64","87.64","87.64","960.30","4336","4.47","3.92","3.92","42.93","424","0.44","0.38","0.38","4.20","92229","95.09","83.34","83.34","913.16","4804","4.95","4.34","4.34","47.56"
SGE-1-07132023-Plate_001-Group_001-B4 PBS-0.5-R1,"24","100.00","100.00","100.00","N/A","5","20.83","20.83","20.83","N/A","0","0.00","0.00","0.00","N/A","4","80.00","16.67","16.67","N/A","1","20.00","4.17","4.17","N/A","4","80.00","16.67","16.67","N/A"
SGE-1-07132023-Plate_001-Group_001-B5 PBS-1.0-R1,"227533","100.00","100.00","100.00","5440.77","201652","88.63","88.63","88.63","4821.90","8595","4.26","3.78","3.78","205.52","888","0.44","0.39","0.39","21.23","192157","95.29","84.45","84.45","4594.86","9605","4.76","4.22","4.22","229.67"
