,All Events Count,All Events % Parent,All Events % Grand Parent,All Events % Total,All Events Count/uL,Singlets Count,Singlets % Parent,Singlets % Grand Parent,Singlets % Total,Singlets Count/uL,iRBC_tdT- Count,iRBC_tdT- % Parent,iRBC_tdT- % Grand Parent,iRBC_tdT- % Total,iRBC_tdT- Count/uL,iRBC_tdT+ Count,iRBC_tdT+ % Parent,iRBC_tdT+ % Grand Parent,iRBC_tdT+ % Total,iRBC_tdT+ Count/uL,uRBCs Count,uRBCs % Parent,uRBCs % Grand Parent,uRBCs % Total,uRBCs Count/uL,iRBCs Count,iRBCs % Parent,iRBCs % Grand Parent,iRBCs % Total,iRBCs Count/uL
SGE-1-07132023-Plate_001-Group_001-B6 M-0.5-R1,"192536","100.00","100.00","100.00","1911.60","152196","79.05","79.05","79.05","1511.08","5814","3.82","3.02","3.02","57.72","714","0.47","0.37","0.37","7.09","145597","95.66","75.62","75.62","1445.56","6344","4.17","3.29","3.29","62.99"
SGE-1-07132023-Plate_001-Group_001-B7 M-1.0-R1,"344324","100.00","100.00","100.00","4038.52","269861","78.37","78.37","78.37","3165.15","8814","3.27","2.56","2.56","103.38","1110","0.41","0.32","0.32","13.02","259682","96.23","75.42","75.42","3045.77","9599","3.56","2.79","2.79","112.59"
SGE-1-07132023-Plate_001-Group_001-B8 F-0.5-R1,"290792","100.00","100.00","100.00","2870.32","265747","91.39","91.39","91.39","2623.11","7574","2.85","2.60","2.60","74.76","1056","0.40","0.36","0.36","10.42","257039","96.72","88.39","88.39","2537.15","8385","3.16","2.88","2.88","82.77"
SGE-1-07132023-Plate_001-Group_001-B9 F-1.0-R1,"244792","100.00","100.00","100.00","2446.70","224706","91.79","91.79","91.79","2245.94","7870","3.50","3.21","3.21","78.66","1003","0.45","0.41","0.41","10.02","215806","96.04","88.16","88.16","2156.98","8679","3.86","3.55","3.55","86.75"
SGE-1-07132023-Plate_001-Group_001-C4 PBS-0.5-R2,"44624","100.00","100.00","100.00","444.95","40008","89.66","89.66","89.66","398.92","1144","2.86","2.56","2.56","11.41","124","0.31","0.28","0.28","1.24","38737","96.82","86.81","86.81","386.25","1249","3.12","2.80","2.80","12.45"
SGE-1-07132023-Plate_001-Group_001-C5 PBS-1.0-R2,"86600","100.00","100.00","100.00","862.46","77359","89.33","89.33","89.33","770.43","3900","5.04","4.50","4.50","38.84","471","0.61","0.54","0.54","4.69","72984","94.34","84.28","84.28","726.86","4333","5.60","5.00","5.00","43.15"
SGE-1-07132023-Plate_001-Group_001-C6 M-0.5-R2,"106224","100.00","100.00","100.00","1051.20","97184","91.49","91.49","91.49","961.74","4650","4.78","4.38","4.38","46.02","504","0.52","0.47","0.47","4.99","92026","94.69","86.63","86.63","910.70","5103","5.25","4.80","4.80","50.50"
SGE-1-07132023-Plate_001-Group_001-C7 M-1.0-R2,"114168","100.00","100.00","100.00","1126.47","101102","88.56","88.56","88.56","997.55","6011","5.95","5.27","5.27","59.31","652","0.64","0.57","0.57","6.43","94419","93.39","82.70","82.70","931.61","6582","6.51","5.77","5.77","64.94"
SGE-1-07132023-Plate_001-Group_001-C8 F-0.5-R2,"55272","100.00","100.00","100.00","549.21","45747","82.77","82.77","82.77","454.56","2822","6.17","5.11","5.11","28.04","356","0.78","0.64","0.64","3.54","42568","93.05","77.02","77.02","422.97","3131","6.84","5.66","5.66","31.11"
SGE-1-07132023-Plate_001-Group_001-C9 F-1.0-R2,"227376","100.00","100.00","100.00","2272.85","206339","90.75","90.75","90.75","2062.56","7897","3.83","3.47","3.47","78.94","819","0.40","0.36","0.36","8.19","197621","95.77","86.91","86.91","1975.42","8824","4.28","3.88","3.88","88.20"
